repository,tag_name,name,published_at,created_at,author,is_working_day
stackflow,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,2025-05-29T08:08:59Z,2025-05-29T08:08:55Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,2025-05-29T08:08:56Z,2025-05-29T08:08:55Z,github-actions[bot],true
stackflow,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,2025-05-15T09:08:02Z,2025-05-15T09:07:58Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,2025-05-15T09:07:59Z,2025-05-15T09:07:58Z,github-actions[bot],true
stackflow,@stackflow/react@1.5.2,@stackflow/react@1.5.2,2025-05-12T07:52:17Z,2025-05-12T07:52:16Z,github-actions[bot],true
stackflow,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,2025-04-09T10:08:22Z,2025-04-09T10:08:18Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,2025-04-09T10:08:19Z,2025-04-09T10:08:18Z,github-actions[bot],true
stackflow,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,2025-03-27T06:55:24Z,2025-03-27T06:55:21Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,2025-03-27T06:55:22Z,2025-03-27T06:55:21Z,github-actions[bot],true
stackflow,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,2025-03-14T06:58:35Z,2025-03-14T06:58:30Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.13.0,@stackflow/plugin-basic-ui@1.13.0,2025-03-14T06:58:32Z,2025-03-14T06:58:30Z,github-actions[bot],true
stackflow,@stackflow/react@1.5.1,@stackflow/react@1.5.1,2025-02-24T11:45:06Z,2025-02-24T11:45:05Z,github-actions[bot],true
stackflow,@stackflow/react@1.5.0,@stackflow/react@1.5.0,2025-02-14T02:06:57Z,2025-02-14T02:06:53Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.12.0,@stackflow/plugin-basic-ui@1.12.0,2025-02-14T02:07:00Z,2025-02-14T02:06:53Z,github-actions[bot],true
stackflow,@stackflow/core@1.2.0,@stackflow/core@1.2.0,2025-02-14T02:06:54Z,2025-02-14T02:06:53Z,github-actions[bot],true
stackflow,@stackflow/react@1.4.2,@stackflow/react@1.4.2,2025-01-22T12:13:17Z,2025-01-22T12:13:06Z,github-actions[bot],true
stackflow,@stackflow/plugin-history-sync@1.7.1,@stackflow/plugin-history-sync@1.7.1,2025-01-22T12:13:19Z,2025-01-22T12:13:06Z,github-actions[bot],true
stackflow,@stackflow/link@1.6.1,@stackflow/link@1.6.1,2025-01-22T12:13:13Z,2025-01-22T12:13:06Z,github-actions[bot],true
stackflow,@stackflow/core@1.1.1,@stackflow/core@1.1.1,2025-01-22T12:13:10Z,2025-01-22T12:13:06Z,github-actions[bot],true
stackflow,@stackflow/config@1.2.1,@stackflow/config@1.2.1,2025-01-22T12:13:08Z,2025-01-22T12:13:06Z,github-actions[bot],true
stackflow,@stackflow/react-ui-core@1.2.1,@stackflow/react-ui-core@1.2.1,2024-12-18T12:26:00Z,2024-12-18T12:25:59Z,github-actions[bot],true
stackflow,@stackflow/react-ui-core@1.2.0,@stackflow/react-ui-core@1.2.0,2024-12-18T07:57:55Z,2024-12-18T07:57:51Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.11.1,@stackflow/plugin-basic-ui@1.11.1,2024-12-18T14:29:36Z,2024-12-18T14:29:35Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.11.0,@stackflow/plugin-basic-ui@1.11.0,2024-12-18T07:57:52Z,2024-12-18T07:57:51Z,github-actions[bot],true
stackflow,@stackflow/plugin-basic-ui@1.10.1,@stackflow/plugin-basic-ui@1.10.1,2024-11-19T10:39:01Z,2024-11-19T10:39:00Z,github-actions[bot],true
stackflow,@stackflow/link@1.6.0,@stackflow/link@1.6.0,2024-11-08T01:57:26Z,2024-11-08T01:57:25Z,github-actions[bot],true
stackflow,@stackflow/react@1.4.1,@stackflow/react@1.4.1,2024-10-23T05:42:16Z,2024-10-23T05:42:14Z,github-actions[bot],true
stackflow,@stackflow/react@1.4.0,@stackflow/react@1.4.0,2024-09-26T06:24:57Z,2024-09-26T06:24:47Z,github-actions[bot],true
stackflow,@stackflow/plugin-preload@1.4.3,@stackflow/plugin-preload@1.4.3,2024-09-26T06:25:00Z,2024-09-26T06:24:47Z,github-actions[bot],true
stackflow,@stackflow/plugin-history-sync@1.7.0,@stackflow/plugin-history-sync@1.7.0,2024-09-26T06:24:51Z,2024-09-26T06:24:47Z,github-actions[bot],true
stackflow,@stackflow/link@1.5.0,@stackflow/link@1.5.0,2024-09-26T06:24:54Z,2024-09-26T06:24:47Z,github-actions[bot],true
stackflow,@stackflow/config@1.2.0,@stackflow/config@1.2.0,2024-09-26T06:24:48Z,2024-09-26T06:24:47Z,github-actions[bot],true
